epoch,epoch_index_zero_based,timestamp,img_size,batch_size,max_train_samples,max_val_samples,train_dataset_size,val_dataset_size,device,lr_before_scheduler,lr_after_scheduler,epoch_elapsed_sec,checkpoint_path,phase,loss,silog_loss,l1_loss,gradient_loss,abs_rel,rmse,si_rmse,avg_grad_norm,valid_pixel_fraction,n_batches,n_samples,skipped_batches,elapsed_sec,samples_per_sec
32,31,2026-05-06 17:38:10,320,12,19600,3000,19600,3000,cuda,0.0009999094740772729,0.0009999090721745918,242.40342235565186,/content/model_checkpoint.pt,val,0.39225471711158755,0.3839865736365318,0.036951103447005154,0.05450954413414001,3.6704163765907287,0.07771800927445292,0.6101232519149781,nan,0.5351132389322917,250,3000,0,26.701330423355103,112.3539521227737
33,32,2026-05-06 17:42:13,320,12,19600,3000,19600,3000,cuda,0.0009999090721745918,0.0009999089600481366,242.3700430393219,/content/model_checkpoint.pt,train,0.3400146491743506,0.33234974430962905,0.03215995616070935,0.056818224916307565,3.5266695775483785,0.07036699825496558,0.5703821249552427,0.5142690858677157,0.5361123963647959,1634,19600,0,215.53370928764343,90.93705140035685
33,32,2026-05-06 17:42:13,320,12,19600,3000,19600,3000,cuda,0.0009999090721745918,0.0009999089600481366,242.3700430393219,/content/model_checkpoint.pt,val,0.3916940181851387,0.3837912726402283,0.03440129001066089,0.05485105314850807,3.966441853046417,0.07457675032317639,0.6104993302822113,nan,0.5351132389322917,250,3000,0,26.834779024124146,111.79521908129134
34,33,2026-05-06 17:46:16,320,12,19600,3000,19600,3000,cuda,0.0009999089600481366,0.0009999084867477208,242.32687139511108,/content/model_checkpoint.pt,train,0.33702351326166197,0.3294153739601337,0.031839210583943525,0.05664515507269555,3.488776264896883,0.0698477932265669,0.5678329817777457,0.4948706472545607,0.5361123963647959,1634,19600,0,215.82269716262817,90.81528614773485
34,33,2026-05-06 17:46:16,320,12,19600,3000,19600,3000,cuda,0.0009999089600481366,0.0009999084867477208,242.32687139511108,/content/model_checkpoint.pt,val,0.3932395758628845,0.38477664613723755,0.03820799759589136,0.05463461344689131,3.6544434971809387,0.0818791720084846,0.612084260225296,nan,0.5351132389322917,250,3000,0,26.50243854522705,113.19713070480014
35,34,2026-05-06 17:50:19,320,12,19600,3000,19600,3000,cuda,0.0009999084867477208,0.000999910871316914,242.70337462425232,/content/model_checkpoint.pt,train,0.3331268781128099,0.3255778235295557,0.03144325913617449,0.05665130055773971,3.4995802728096743,0.06884880279187419,0.5646404177497621,0.49610811623321754,0.5361123963647959,1634,19600,0,216.08633017539978,90.70448826675178
35,34,2026-05-06 17:50:19,320,12,19600,3000,19600,3000,cuda,0.0009999084867477208,0.000999910871316914,242.70337462425232,/content/model_checkpoint.pt,val,0.3833355370759964,0.37578507941961287,0.032060913877561686,0.05482643114775419,3.887788474559784,0.06952625938504935,0.6040568133592605,nan,0.5351132389322917,250,3000,0,26.615339040756226,112.71695601570516
36,35,2026-05-06 17:54:21,320,12,19600,3000,19600,3000,cuda,0.000999910871316914,0.0009999105485974922,242.0816786289215,/content/model_checkpoint.pt,train,0.3302648675376082,0.3227764299843857,0.031042032671073222,0.056642651513465106,3.509021480562054,0.06874644033829687,0.562121825381621,0.47100389311534685,0.5361123963647959,1634,19600,0,215.55287671089172,90.92896508307015
36,35,2026-05-06 17:54:21,320,12,19600,3000,19600,3000,cuda,0.000999910871316914,0.0009999105485974922,242.0816786289215,/content/model_checkpoint.pt,val,0.38511119049787523,0.37761323773860933,0.031741776764392854,0.054733735501766204,4.016619300842285,0.06824208603054285,0.605149450302124,nan,0.5351132389322917,250,3000,0,26.527226448059082,113.09135562566516
37,36,2026-05-06 17:58:24,320,12,19600,3000,19600,3000,cuda,0.0009999105485974922,0.0009999126803815711,242.29502367973328,/content/model_checkpoint.pt,train,0.32562648546921874,0.31825214152018033,0.030309132834374357,0.056559477183532374,3.498527892727309,0.06764814955486735,0.5587182470860651,0.44711330434993696,0.5361123963647959,1634,19600,0,215.6743016242981,90.87777195700836
