epoch,epoch_index_zero_based,timestamp,img_size,batch_size,max_train_samples,max_val_samples,train_dataset_size,val_dataset_size,device,lr,epoch_elapsed_sec,checkpoint_path,phase,loss,abs_rel,rmse,si_rmse,valid_pixel_fraction,n_batches,n_samples,elapsed_sec,samples_per_sec
31,30,2026-05-24 23:13:28,128,8,3000,500,3000,500,cuda,0.001,50.499199628829956,/content/model_checkpoint.pt,val,1.050962730059548,5.866172557785397,0.14284372903288356,0.9805227499159556,0.5110517578125,63,500,6.961325168609619,71.82540506147117
32,31,2026-05-24 23:14:19,128,8,3000,500,3000,500,cuda,0.001,50.83120584487915,/content/model_checkpoint.pt,train,1.0024099090099334,5.727295038223267,0.13356018976370493,0.9527579738299052,0.539487060546875,375,3000,43.81104135513306,68.47588889024455
32,31,2026-05-24 23:14:19,128,8,3000,500,3000,500,cuda,0.001,50.83120584487915,/content/model_checkpoint.pt,val,1.0244963481312706,7.244500760048155,0.13670474548070205,0.9611528771264213,0.5110517578125,63,500,7.019613265991211,71.22899525283135
33,32,2026-05-24 23:15:09,128,8,3000,500,3000,500,cuda,0.001,50.455352783203125,/content/model_checkpoint.pt,train,1.0126771203676859,5.819738546689352,0.13471394434571266,0.9559615360895792,0.539487060546875,375,3000,43.51034355163574,68.94912232627539
33,32,2026-05-24 23:15:09,128,8,3000,500,3000,500,cuda,0.001,50.455352783203125,/content/model_checkpoint.pt,val,1.0481472048494551,7.610668891952152,0.13922322798697723,0.9678364235257345,0.5110517578125,63,500,6.944584369659424,71.99854928460189
34,33,2026-05-24 23:16:00,128,8,3000,500,3000,500,cuda,0.001,50.531686782836914,/content/model_checkpoint.pt,train,0.9897590524355571,5.85756355603536,0.13240611301362515,0.9494432183901469,0.539487060546875,375,3000,43.56922507286072,68.85594120581916
34,33,2026-05-24 23:16:00,128,8,3000,500,3000,500,cuda,0.001,50.531686782836914,/content/model_checkpoint.pt,val,1.0080496862767234,6.13404767664652,0.14257769851339241,0.9655344930906145,0.5110517578125,63,500,6.9620373249053955,71.81805794280115
35,34,2026-05-24 23:16:50,128,8,3000,500,3000,500,cuda,0.001,50.4796507358551,/content/model_checkpoint.pt,train,0.9732543164889018,5.726984617869059,0.1320968856116136,0.9381486875216166,0.539487060546875,375,3000,43.52203011512756,68.93060806364471
35,34,2026-05-24 23:16:50,128,8,3000,500,3000,500,cuda,0.001,50.4796507358551,/content/model_checkpoint.pt,val,1.031483086328658,6.710917366875543,0.14617603893081346,0.971118776571183,0.5110517578125,63,500,6.957178115844727,71.8682189350978
36,35,2026-05-24 23:17:41,128,8,3000,500,3000,500,cuda,0.001,50.46805286407471,/content/model_checkpoint.pt,train,0.9798317252794901,5.799902199745178,0.13451654758801063,0.9443658165931702,0.539487060546875,375,3000,43.554492473602295,68.8792321898425
36,35,2026-05-24 23:17:41,128,8,3000,500,3000,500,cuda,0.001,50.46805286407471,/content/model_checkpoint.pt,val,1.0678148231809101,4.953581183675736,0.14878636329538292,0.9756448221585107,0.5110517578125,63,500,6.913114786148071,72.32629798102857
37,36,2026-05-24 23:18:31,128,8,3000,500,3000,500,cuda,0.001,50.51953840255737,/content/model_checkpoint.pt,train,0.9721194434960683,5.624302940368652,0.13222748545805613,0.9374013667106629,0.539487060546875,375,3000,43.59902811050415,68.80887327112737
37,36,2026-05-24 23:18:31,128,8,3000,500,3000,500,cuda,0.001,50.51953840255737,/content/model_checkpoint.pt,val,0.9645088404890091,6.432153187100849,0.13670248529385953,0.9428794393463741,0.5110517578125,63,500,6.920092821121216,72.2533660927092
38,37,2026-05-24 23:19:22,128,8,3000,500,3000,500,cuda,0.001,50.42302942276001,/content/model_checkpoint.pt,train,0.9581010861396789,5.64968430964152,0.13070726251602172,0.9319218152364095,0.539487060546875,375,3000,43.577513217926025,68.84284527658457
38,37,2026-05-24 23:19:22,128,8,3000,500,3000,500,cuda,0.001,50.42302942276001,/content/model_checkpoint.pt,val,0.9690551630088261,5.5101180757795065,0.13931790461379384,0.9426670036618672,0.5110517578125,63,500,6.845104217529297,73.0449068576011
